,Title,Image,Total Time,Yields,Ingredients,Instructions
5,Penne with Chicken and Asparagus,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F226134.jpg,35,8 servings,"['1 (16 ounce) package dried penne pasta', '5 tablespoons olive oil, divided', '2 skinless, boneless chicken breast halves - cut into cubes', 'salt and pepper to taste', 'garlic powder to taste', '½ cup low-sodium chicken broth', '1 bunch slender asparagus spears, trimmed, cut on diagonal into 1-inch pieces', '1 clove garlic, thinly sliced', '¼ cup Parmesan cheese']","Bring a large pot of lightly salted water to boil. Add pasta, and cook until al dente, about 8 to 10 minutes. Drain, and set aside.
Warm 3 tablespoons olive oil in a large skillet over medium-high heat. Stir in chicken, and season with salt, pepper, and garlic powder. Cook until chicken is cooked through and browned, about 5 minutes. Remove chicken to paper towels.
Pour chicken broth into the skillet. Then stir in asparagus, garlic, and a pinch more garlic powder, salt, and pepper. Cover, and steam until the asparagus is just tender, about 5 to 10 minutes. Return chicken to the skillet, and warm through.
Stir chicken mixture into pasta, and mix well. Let sit about 5 minutes. Drizzle with 2 tablespoons olive oil, stir again, then sprinkle with Parmesan cheese."
0,Butter Chickpea Curry,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F638974.jpg,50,4 servings,"['4 medium potatoes, cubed', '2 tablespoons canola oil', '1 medium yellow onion, diced', '1 teaspoon minced garlic', '2 teaspoons curry powder', '2 teaspoons garam masala', '1 teaspoon ground ginger', '1 teaspoon cumin', '1 teaspoon salt', '1 (10.75 ounce) can condensed tomato soup', '½ cup cream or milk', '1 (12 ounce) can chickpeas, rinsed and drained']","Place potatoes in a saucepan, cover with water, and bring to a boil over high heat; simmer until the potatoes are tender. Drain, and set aside.
Warm oil in a skillet over medium heat. Stir in onion and garlic, and cook until the onions are soft and translucent. Stir in curry powder, garam masala, ginger, cumin, and salt. Cook for 1 or 2 minutes, stirring. Pour in soup, cream, and chickpeas. Stir in potatoes. Simmer 5 minutes."
1,Pasta Primavera with Italian Turkey Sausage,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F812483.jpg,50,8 servings,"['1 (16 ounce) package uncooked farfalle pasta', '1 pound hot Italian turkey sausage, cut into 1/2 inch slices', '½ cup olive oil, divided', '4 cloves garlic, diced', '½ onion, diced', '2 small zucchini, chopped', '2 small yellow squash, chopped', '6 roma (plum) tomatoes, chopped', '1 green bell pepper, chopped', '20 leaves fresh basil', '2 teaspoons chicken bouillon granules', '½ teaspoon red pepper flakes', '½ cup grated Parmesan cheese']","Bring a large pot of lightly salted water to a boil. Place farfalle in pot and cook 8 to 10 minutes, until al dente; drain.
Place sausage in a large skillet over medium heat and cook until evenly brown; set aside. Heat 1/4 cup oil in skillet. Stir in garlic and onion, and cook until tender. Mix in zucchini, squash, tomatoes, bell pepper and basil. Dissolve bouillon in the mixture. Season with red pepper. Stir in remaining oil. Continue cooking 10 minutes.
Mix pasta, sausage and cheese into skillet. Continue cooking 5 minutes, or until heated through."
2,Aromatic Asparagus,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5005888.jpg,45,4 servings,"['2 tablespoons butter', '½ pound asparagus, cut into 1-inch pieces', '3 tablespoons all-purpose flour', '2 cups milk', '1 ½ cups vegetable broth', '½ cup water', '¼ cup grated Parmesan cheese', '¼ teaspoon dried thyme', '¼ teaspoon dried sage', 'salt to taste']","Melt butter in a medium saucepan over medium heat. Stir in asparagus and cook 5 minutes.
Sprinkle flour over asparagus, and toss to coat. Mix milk, vegetable broth and water into saucepan. Stir in Parmesan cheese, thyme, sage and salt. Cook 30 minutes, stirring occasionally. Serve warm."
3,Creamy Ground Beef and Noodles,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4461397.jpg,30,8 servings,"['1 (10 ounce) package egg noodles', '2 pounds ground beef', '1 pinch onion powder, or to taste', '1 pinch garlic powder, or to taste', 'salt and ground black pepper to taste', '1 (8 ounce) package cream cheese', '1 (10.75 ounce) can cream of mushroom soup', '1 (10 ounce) can whole kernel corn, drained', '1 (5 ounce) can evaporated milk', '1 (8 ounce) package shredded mozzarella cheese']","Bring a large pot of lightly salted water to a boil. Add noodles and cook until tender, about 7 minutes. Drain.
Meanwhile, place ground beef into a large skillet over medium-high heat. Season with onion powder, garlic powder, salt and pepper; cook and stir until evenly browned, 5 to 7 minutes. Drain off grease.
Stir the cream cheese and cream of mushroom soup into the ground beef until well blended, about 5 minutes. Mix in the drained noodles and corn. Stir in evaporated milk to reach your desired consistency, about 5 minutes. Top with mozzarella cheese and cook until melted, about 5 minutes more."
4,Bangin' Steak Rub,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F865137.jpg,5,10 servings,"['½ cup packed brown sugar', '1 (1.25 ounce) package chili seasoning mix', '1 (1 ounce) envelope ranch dressing mix', '1 teaspoon garlic salt', '1 teaspoon onion salt', '½ teaspoon ground black pepper', '1 teaspoon steak seasoning']","In a small bowl, thoroughly mix together the brown sugar, chili seasoning mix, ranch dressing mix, garlic salt, onion salt, ground black pepper, and steak seasoning. The rub should be smooth and granular, with no large lumps. Store at room temperature in an airtight container until ready to use.
To use, rub the seasoning mix liberally onto the steak or meat of your choice before cooking."
5,Chicken Veronica,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F70168.jpg,60,4 servings,"['¼ cup extra-virgin olive oil', '2 ½ pounds chicken breast cutlets, pounded to 1/4 inch thickness', '1 cup all-purpose flour for dusting', '4 cloves garlic, chopped', '1 shallot, chopped', '3 tablespoons chopped oil-packed sun-dried tomatoes', '3 slices pancetta bacon, finely chopped', '¾ cup good quality dry sherry wine', '½ cup chicken stock', '2 egg yolks', '½ cup heavy cream', '2 tablespoons Brie cheese - rind removed, room temperature', 'salt and pepper to taste', '1 teaspoon chopped fresh parsley']","Heat the olive oil in a large skillet over medium-high heat. Dredge the chicken in flour, shaking off any excess. Fry chicken in the hot oil until brown on both sides. Remove from the skillet and set aside.
Add the garlic, shallot, sun-dried tomatoes and pancetta to the skillet and reduce the heat to medium. Cook and stir for a few minutes, until garlic is fragrant and pancetta is cooked. Stir in the sherry, loosening any bits stuck to the bottom of the pan. Simmer until reduced by half. Stir in the chicken stock and cook until reduced by half again.
Whisk together the egg yolks and heavy cream; mix into the skillet. Season with salt and pepper. Return the chicken to the skillet and cook for a few minutes, until chicken is coated and sauce is thick. Stir in the Brie cheese until smooth. Remove from the heat and sprinkle with parsley. Serve over rice or angel hair pasta."
6,Fresh Summer Fruit Salad,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7480079.jpg,225,4 servings,"['½ cup water', '⅔ cup sugar', '3 cups thinly sliced rhubarb', '15 seedless grapes, halved', '½ orange, sectioned', '10 fresh strawberries, hulled and halved', '1 apple, cored and diced', '1 peach, sliced', '1 plum, pitted and sliced', '15 pitted Bing cherries', '¼ cup fresh blueberries']","Bring water and sugar to a boil in a medium saucepan over medium heat. Stir in the rhubarb, turn heat to low, cover, and simmer until rhubarb is soft, 10 to 15 minutes. Mash and chill in the refrigerator, about one hour.
To serve, mix the grapes, orange, strawberries, apple, peach, plum, cherries, and blueberries with 2/3 cup of the rhubarb sauce. Stir gently, but thoroughly to coat. Refrigerate for at least two hours to allow the flavors to blend."
7,Eba,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4043190.jpg,15,8 servings,"['8 cups water', '4 cups gari (roasted cassava flour)']","Bring the water to a boil in a large pot. Sprinkle in the gari, and cook, stirring constantly, until it becomes a paste similar to mashed potato consistency."
8,Auntie Doris's Peach Jam,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F683842.jpg,690,6 pints,"['12 fresh peaches - peeled, pitted and chopped', '4 oranges', '6 cups white sugar']","Place the peaches into a large bowl. Scrub the oranges then chop into pieces - including the peel. This is easiest done in a food processor so you don't lose as much juice. Transfer to the bowl with the peaches. Stir in sugar, cover, and refrigerate overnight.
The next day, pour the entire contents of the bowl into a large pot. Bring to a simmer over low heat and cook for 2 to 3 hours, stirring occasionally. Make sure the heat is low enough, or the jam will burn and stick to the bottom of the pot. This does not need to come to a rolling boil.
While the jam simmers, sterilize your jars in boiling water for at least 5 minutes, and keep hot. Prepare new lids according to the manufacturer's instructions. Ladle the jam into the jars, leaving 1/4 inch of headspace. Wipe the rims with a clean damp cloth or paper towel, and seal with lids and rings. Process according to guidelines suggested by your local extension."
9,Nat's Buttery Cashew Crunch,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2987690.jpg,19,2 pounds,"['1 cup unsalted butter', '1 ¼ cups white sugar', '¼ teaspoon salt', '1 tablespoon light corn syrup', '10 ounces cashews']","Generously butter or grease a large baking sheet, and set aside.
In a saucepan over medium heat, combine the butter, sugar, salt and corn syrup. Cook, stirring until butter is melted. Stir in the cashews, and increase the heat to high. Heat to 300 to 310 degrees F (149 to 154 degrees C), or until a small amount of syrup dropped into cold water forms hard, brittle threads. Stir occasionally with a long handled wooden spoon so the cashews do not burn.
Pour onto a greased baking sheet, and allow to cool for about 10 minutes. Break into pieces, and store in an airtight container lined with waxed paper."
0,Italian Peas,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F582768.jpg,15,6 servings,"['2 tablespoons olive oil', '1 onion, chopped', '2 cloves garlic, minced', '16 ounces frozen green peas', '1 tablespoon chicken stock', 'salt and ground black pepper to taste']","Heat olive oil in a skillet over medium heat. Stir in onion; cook until softened, about 5 minutes. Stir in garlic and cook for 1 minute. Add frozen peas, and stir in stock. Season with salt and pepper. Cover, and cook until the peas are tender, about 5 minutes."
1,Sweet Coated Pecans,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F298880.jpg,70,2 cups,"['1 egg white', '1 teaspoon ground cinnamon', '1 cup sugar', '¾ teaspoon salt', '2 tablespoons water', '1 pound pecan halves']","Preheat oven to 250 degrees F (120 degrees C). Lightly butter a baking sheet.
In a bowl, beat the egg white until foamy. Mix in cinnamon, sugar, salt, and water. Mix well. Stir in pecan halves, stirring until well coated. Spread on baking sheet.
Bake in preheated oven for 1 hour, stirring every 15 minutes."
2,Fennel Corn Muffin,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F202056.jpg,30,8 muffins,"['2 ¼ cups all-purpose flour', '¼ cup yellow cornmeal', '2 teaspoons baking powder', '1 teaspoon baking soda', '1 ½ tablespoons dried thyme', '1 ½ tablespoons crushed fennel seed', '1 pinch ground black pepper', '1 pinch salt', '¼ cup white sugar', '1 cup soy milk', '1 egg', '1 egg yolk', '½ cup vegetable oil']","Preheat the oven to 375 degrees F (190 degrees C). Grease a muffin tin, or line with muffin papers.
In a large bowl, whisk together the flour, cornmeal, baking powder, baking soda, thyme, fennel seeds, salt, pepper, and sugar. Make a well in the center, and pour in the soy milk, egg, egg yolk, and oil. Stir just until blended. Spoon into the prepared muffin tin, filling cups about 3/4 full.
Bake for 18 to 20 minutes in the preheated oven, until the tops of the muffins spring back when lightly pressed. Cool in the pan for at least 5 minutes before removing from cups."
3,Mom's Easy Roast,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F31293.jpg,380,6 servings,"['1 (3 pound) bottom round roast', 'salt and pepper to taste', '2 medium baking potatoes, quartered', '4 carrots, cut into thirds', '1 (1 ounce) envelope dry onion soup mix', '1 cup water']","Season the roast with salt and pepper, and place in the bottom of a slow cooker. Sprinkle half of the onion soup mix over it, and pour in half of the water. Put in the potatoes, followed by carrots. Season with the remaining soup mix, then pour in the rest of the water. Cover, and cook on High for 6 to 8 hours."
4,Shipwreck Stew,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2801539.jpg,320,10 servings,"['2 pounds ground beef', '2 (10.75 ounce) cans condensed tomato soup', '2 medium onions, chopped', '5 large potatoes, cubed', '2 (15.25 ounce) cans kidney beans, undrained']","Crumble the ground beef into a large skillet over medium-high heat. Cook and stir until browned. Drain grease, and transfer beef to a slow cooker. Mix in the tomato soups (undiluted), onions, potatoes, and beans.
Cover, and cook on the Low setting for 4 to 5 hours, until stew is thick and potatoes are tender."
5,Shrimp Kisses,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F172710.jpg,30,8 servings,"['1 (8 ounce) package Monterey Jack cheese, cut into strips', '40 large shrimp - peeled, deveined and butterflied', '20 slices bacon, cut in half']","Preheat the oven to 450 degrees F (220 degrees C).
Place a small piece of cheese into the butterflied opening of each shrimp. Wrap half of a slice of bacon around each one to conceal the cheese, securing with toothpicks. Place on a cookie sheet.
Bake for 10 to 15 minutes in the preheated oven, until bacon is browned."
6,Plum Dumplings,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F880631.jpg,135,25 dumplings,"['25 Italian prune plums', '3 tablespoons sugar', '2 large potatoes, peeled and quartered', '2 ½ cups all-purpose flour', '1 teaspoon sugar', '½ teaspoon baking powder', '½ teaspoon salt', '3 egg yolks', '2 tablespoons shortening or butter, softened', '½ cup butter', '1 ½ cups dark brown sugar', '¼ cup fine dry bread crumbs']","To pit the plums, slice them almost in half, open, and remove pit. Place about 1/3 teaspoon of sugar in the hollow of each plum; close the plum, and place in a bowl. Set aside.
Place potatoes in a large pot with enough water to cover. Bring to a boil, and cook until tender. Drain. When cool enough to handle, mash potatoes with a fork or potato masher. You will need 1 cup of mashed potatoes. Set aside, and keep warm.
To make the dough, sift the flour, sugar, baking powder, and salt together into a pile on a breadboard. Make a well in the center; add 1 cup mashed potatoes, egg yolks, and shortening into the well, and work in until the dough is pliable and smooth.
When dough is thoroughly kneaded, roll it out onto a floured board to a thickness of about 1/4 inch. Cut into roughly 4-inch rounds with a biscuit cutter. Holding one piece of dough in your hand, place a whole pitted plum in the center. Place another piece of dough on top, and press to seal the edges of the dough together. Make sure there are no leaks, or the plum will come out during cooking.
To cook, bring a deep pot of salted water to boil. Place dumplings in water, and boil gently for about 10 minutes.
Meanwhile, to make the sauce, melt butter in a large frying pan over medium heat. Stir in brown sugar. (If you like, stir in some of the juice that collects in the bowl of pitted plums.) Stir in a small amount of bread crumbs to slightly thicken the sauce.
When dumplings are done, remove them from boiling water, and place them in the frying pan, and turn to coat the dumplings. Serve hot with extra sauce poured over them."
7,Kifta,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6454041.jpg,80,4 servings,"['1 ½ cups vegetable oil for frying', '1 large potato, thinly sliced', '2 pounds ground beef', '½ onion, minced', '3 cloves garlic', '½ bunch fresh parsley, chopped', '1 ½ teaspoons salt', '1 ½ teaspoons ground black pepper', '1 ½ teaspoons ground allspice', '1 ½ teaspoons ground nutmeg', '1 ½ teaspoons cumin', '1 large tomato, thinly sliced', '½ onion, sliced', '2 cups long grain white rice', '4 cups water']","Preheat the oven to 350 degrees F (175 degrees C). Heat the oil in a large heavy skillet over medium-high heat. When the oil is hot, place potato slices in a thin layer, and fry just until golden. Remove with a slotted spoon, and set aside on paper towels.
In a medium bowl, mix together the ground beef, minced onion, garlic, parsley, salt, pepper, allspice, nutmeg, and cumin. Press flat into a 7x11 inch baking dish. Arrange potato slices over the meat in an even layer. Place tomato slices over the potato. Top with slices of onion. Cover with aluminum foil.
Bake for 45 minutes in the preheated oven. Remove the aluminum foil from the top, and continue to bake for another 15 minutes, or until browned.
While the kifta is cooking, combine the rice and water in a saucepan. Bring to a boil, then reduce heat to low, cover, and simmer for 20 minutes or until rice is tender. When kifta is done, cut into squares and serve over rice."
8,Mustard Onion Pork Chops,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F152519.jpg,0,4 servings,"['4 boneless pork loin chops, butterflied', '½ cup prepared yellow mustard, or to taste', '1 cup canned French fried onions']","Preheat the oven to 375 degrees F (190 degrees C).
Place the pork chops in a shallow baking dish. Pour mustard over them, and turn to coat. Sprinkle fried onions over the top. Cover with aluminum foil.
Bake for 20 minutes in the preheated oven, or until pork chops are cooked through."
9,Classic White Wine Spritzer,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F687447.jpg,2,2 servings,"['½ cup club soda', '1 cup white wine']","Pour wine into glasses, and top off with club soda. Serve immediately."
10,Ginger Champagne,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F25473.jpg,2,1 serving,"['3 strips pickled ginger', '1 cup ice cubes', '1 fluid ounce vodka', '½ cup champagne']",Place the ginger strips into a shaker and press to release the flavor. Add the ice cubes and vodka; shake and strain into a champagne glass. Top with champagne.
11,Quick Hoppin' John Soup,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F763125.jpg,35,8 servings,"['1 pound sage pork sausage', '1 (6 ounce) package uncooked long grain and wild rice mix, with seasoning packet', '2 (15 ounce) cans black-eyed peas, drained', '2 (14.5 ounce) cans diced tomatoes, with liquid', '2 (14 ounce) cans chicken broth', '2 cups water', 'salt to taste']","Crumble sausage into a skillet over medium heat and cook until evenly brown.
In a large pot, mix the cooked sausage, rice mix with seasoning packet, black-eyed peas, tomatoes, broth and water. Bring to a boil. Reduce heat to low, cover and simmer 20 minutes, or until rice is tender. Season to taste with salt."
12,Guacamole Cilantro Lime Cheeseburger,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6637561.jpg,40,6 burgers,"['2 avocados - halved, peeled, and pitted', '½ lime, juiced', '1 fresh jalapeno peppers, seeded and minced', '½ cup diced tomatoes', '¼ cup minced onion', '1 ½ teaspoons minced garlic', '¼ teaspoon salt to taste', '2 pounds lean ground beef', '½ lime, juiced', '1 tablespoon minced garlic', '1 teaspoon chili powder', '½ cup diced onion', '½ cup chopped cilantro', '6 slices Monterey Jack cheese', '6 hamburger buns']","Preheat an outdoor grill for medium heat.
To make the guacamole, mash the avocado in a medium bowl with the juice of half a lime, jalapeno, tomatoes, 1/4 cup onion, and 1 1/2 teaspoons of minced garlic; season to taste with salt, and set aside.
In a large bowl, mix together beef, the juice of half a lime, 1 tablespoon garlic, chili powder, 1/2 cup diced onion, and cilantro. Form the meat into 6 patties.
Cook the burgers to desired doneness on the preheated grill. Add a slice of cheese to each burger during the last minute of cooking. Serve on toasted buns with a dollop of guacamole."
